Real,Imaginary
-0.00909447,-0.0171818
-0.00897239,-0.0169377
-0.00875877,-0.0169682
-0.00894188,-0.0169072
-0.00891136,-0.0169682
-0.00891136,-0.0167546
-0.00894188,-0.0170903
-0.0091555,-0.0169072
-0.00897239,-0.0168156
-0.00891136,-0.0170292
-0.00906395,-0.0170292
-0.00909447,-0.0171208
-0.00891136,-0.0168766
-0.00894188,-0.0167851
-0.00888084,-0.0168156
-0.00872825,-0.0170292
-0.00909447,-0.0170598
-0.00897239,-0.0167851
-0.00891136,-0.0168766
-0.00897239,-0.0171818
-0.00897239,-0.0169987
-0.00903343,-0.0169682
-0.00897239,-0.0168461
-0.00906395,-0.0166325
-0.00903343,-0.0169987
-0.00918602,-0.0168461
-0.00903343,-0.0169072
-0.00924706,-0.0169682
-0.00906395,-0.0167546
-0.00903343,-0.0171208
-0.00888084,-0.0168461
-0.00900291,-0.0169377
-0.0088198,-0.0169987
-0.00897239,-0.0166935
-0.0091555,-0.0170292
-0.00906395,-0.0166325
-0.00894188,-0.0168156
-0.00921654,-0.0171208
-0.00906395,-0.0169987
-0.00918602,-0.0170292
-0.00933861,-0.0168461
-0.00909447,-0.0169682
-0.00927758,-0.0169072
-0.00936913,-0.0169682
-0.00909447,-0.0169377
-0.00885032,-0.0170598
-0.00912499,-0.0170903
-0.00921654,-0.0167851
-0.00912499,-0.0169377
-0.00918602,-0.0169682
-0.00897239,-0.0168461
-0.00921654,-0.0168461
-0.00921654,-0.0168156
-0.00903343,-0.0166935
-0.00918602,-0.0167851
-0.00912499,-0.0170598
-0.0088198,-0.0169072
-0.00909447,-0.0168461
-0.00903343,-0.0170292
-0.00894188,-0.0169682
